a52dec 0.7.4-11
abseil-cpp 20211102.0-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.52-2
alsa-lib 1.2.7.1-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.1-1
alsa-utils 1.2.7-1
alure 1.2-8
android-tools 31.0.3-6
android-udev 20220611-1
aom 3.4.0-1
appstream-glib 0.7.18-2
arch-audit 0.1.20-1
archcraft-cursor-future 1.0-1
archcraft-cursor-lyra 1.0-1
archcraft-gtk-theme-gruvbox 1.0-1
archcraft-gtk-theme-manhattan 1.0-1
archcraft-gtk-theme-nordic 1.0-1
archcraft-gtk-theme-spark 1.0-1
archcraft-icons-arc 1.0-1
archcraft-icons-hack 1.0-1
archcraft-icons-nordic 1.0-1
archcraft-icons-papirus 1.0-1
archlinux-appstream-data 20220618-1
archlinux-keyring 20220424-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atril 1.26.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
bat 0.21.0-1
binutils 2.38-5
bison 3.8.2-4
bluez-libs 5.64-2
boost-libs 1.79.0-1
box2d 2.4.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
btrfs-progs 5.18.1-1
bubblewrap 0.6.2-1
bucklespring 1.5.1-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.80-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
calc 2.14.0.8-2
cantarell-fonts 1:0.303.1-1
cava-git r798.159c48a-1
ccls 0.20210330-5
clang 13.0.1-2
clucene 2.3.3.4-12
colord 1.4.6-1
colorpicker 1.0.f5d441a-2
compiler-rt 13.0.1-1
coreutils 9.1-1
cozette-otb 1.13.0-1
cryptsetup 2.4.3-2
curl 7.84.0-1
cylon 6.2-3
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
dconf-editor 3.38.3-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
dialog 1:1.3_20220526-1
diffutils 3.8-1
djvulibre 3.5.28-3
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.0-1
duktape 2.7.0-2
dumb 2.0.3-3
dunst 1.8.1-1
e2fsprogs 1.46.5-4
efibootmgr 17-2
efivar 38-2
enchant 2.3.3-1
exa 0.10.1-5
exiv2 0.27.5-3
expac 10-5
expat 2.4.8-1
faad2 2.10.0-1
fakeroot 1.29-1
feh 3.9-1
ffmpeg 2:5.0.1-3
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.42-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 102.0-1
flac 1.3.4-2
flex 2.6.4-3
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse3 3.11.0-1
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 12.1.0-2
gcc-libs 12.1.0-2
gcr 3.41.0-2
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
geany 1.38-2
gettext 0.21-2
ghostscript 9.56.1-1
giflib 5.2.1-2
git 2.37.0-1
glew 2.2.0-3
glib 1.2.10-18
glib-networking 1:2.72.1-1
glib2 2.72.2-1
glibc 2.35-6
glibmm 2.66.4-1
glslang 11.10.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-logs 42.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.35-2
gnutls 3.7.6-1
go 2:1.18.3-1
gobject-introspection-runtime 1.72.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphite 1:1.3.14-2
grep 3.7-1
groff 1.22.4-7
